1,82
2,5
3,45
4,101
4,102
5,12
6,77
7,23
8,91
9,33
9,34
10,50
11,68
12,8
13,88
14,29
15,60
16,42
17,75
18,99
19,17
19,18
20,55
21,3
22,81
23,62
24,40
25,93
26,20
27,67
28,1
28,2
29,85
30,52
31,27
32,96
33,39
34,65
35,11
36,73
37,48
38,90
39,25
40,58
41,7
42,84
43,30
44,70
45,98
46,15
47,44
48,80
49,56
50,36
51,64
52,9
53,83
54,22
55,51
56,79
57,32
58,61
59,10
60,92
61,47
62,28
63,72
64,54
64,53
65,89
66,19
67,69
68,38
69,87
70,14
71,76
72,41
73,95
74,26
75,63
76,35
77,86
78,16
79,74
80,49
81,24
82,97
83,6
84,71
85,31
86,59
87,46
88,94
89,21
90,78
91,4
92,66
93,37
94,100
95,13
96,43
97,57
98,82
99,40
100,55
1,4
2,66
3,89
4,15
5,98
6,2
7,79
8,51
9,100
10,30
11,70
12,94
13,44
14,61
15,84
16,21
17,57
18,3
19,90
20,68
21,42
22,12
23,81
24,54
25,27
26,96
27,50
28,75
29,18
30,87
31,38
32,62
33,9
34,73
35,47
36,99
37,24
38,65
39,11
40,85
41,33
42,56
43,78
44,22
45,92
